company_id,location,company_name,domain,eligibility_branch_wise,eligibility_criteria,profile,skills_required,ctc_lpa,no_of_openings,no_of_students_placed,total_eligible_student,no_of_rounds_company_took,rounds_names,highest_elim_round,highest_elim_count,Conversion %
Com0001,Pune,StartCo38,EdTech,All Branches,C3,Instructional Designer,"Content Design, Teaching Skills, Digital Marketing, Data Analysis, Communication",6.6,11,4,674,4,"Group Discussion,T1,Technical Interview,HR",T1,146,36.36
Com0002,Hyderabad,StartCo36,Finance,All Branches,C2,Equity Research Analyst,"Excel, SQL, Financial Modelling, Accounting, PowerBI, Basic Economics",11,8,7,599,5,"GD1,Aptitude,HR,Technical Interview,Group Discussion",Technical Interview,296,87.5
Com0003,Bangalore,StartCo27,EdTech,All Branches,C3,Academic Counselor,"Content Design, Teaching Skills, Digital Marketing, Data Analysis, Communication",3.7,16,12,674,3,"Technical Interview,HR,Aptitude",HR,293,75
Com0004,Hyderabad,OYO,Finance,All Branches,C2,Investment Banking Analyst,"Excel, SQL, Financial Modelling, Accounting, PowerBI, Basic Economics",4.9,9,3,599,5,"Group Discussion,HR,Aptitude,Coding,Technical Interview",Aptitude,251,33.33
Com0005,Chennai,Tata Motors,ME,ME,C2,Design Engineer,"CAD, SolidWorks, Thermodynamics, Manufacturing Processes",10.8,14,9,20,2,"Group Discussion,HR",Group Discussion,3,64.29
Com0006,Noida,TechCo32,Software,"CSE,CSD,CSE AIML,IT",C2,Data Engineer,"Python, SQL, Machine Learning, Data Analysis",9.8,9,1,448,3,"Coding,Technical Interview,HR",HR,146,11.11
Com0007,Bangalore,Google,Software,"CSE,CSD,CSE AIML,IT",C3,QA Engineer,"Selenium, Automation Testing, Java/Python, SDLC",8,10,1,488,2,"Group Discussion,HR",HR,253,10
Com0008,Chennai,Infra.Market,Sales,All Branches,C3,Sales Executive,"Communication, Negotiation, CRM tools, Presentation Skills, Lead Generation",6.8,11,9,674,5,"Coding,HR,Group Discussion,Technical Interview,Aptitude",Group Discussion,371,81.82
Com0009,Chennai,TechCo16,Software,"CSE,CSD,CSE AIML,IT",C2,Data Engineer,"Python, SQL, Machine Learning, Data Analysis",7.7,7,6,448,2,"Group Discussion,HR",Group Discussion,139,85.71
Com0010,Chennai,StartCo70,Finance,All Branches,C3,Equity Research Analyst,"Excel, SQL, Financial Modelling, Accounting, PowerBI, Basic Economics",7.3,20,1,674,2,"Group Discussion,Technical Interview",Group Discussion,194,5
Com0011,Gurugram,StartCo2,Finance,All Branches,C2,Investment Banking Analyst,"Excel, SQL, Financial Modelling, Accounting, PowerBI, Basic Economics",8.6,14,9,599,3,"Aptitude,Technical Interview,Group Discussion",Aptitude,226,64.29
Com0012,Noida,Cure.fit,EdTech,All Branches,C3,Content Developer,"Content Design, Teaching Skills, Digital Marketing, Data Analysis, Communication",5.3,16,12,674,2,"Technical Interview,HR",Technical Interview,393,75
Com0013,Chennai,Nykaa,Sales,All Branches,C2,Inside Sales Associate,"Communication, Negotiation, CRM tools, Presentation Skills, Lead Generation",10.2,13,12,599,3,"Technical Interview,Coding,HR",Technical Interview,125,92.31
Com0014,Pune,StartCo14,Sales,All Branches,C2,Inside Sales Associate,"Communication, Negotiation, CRM tools, Presentation Skills, Lead Generation",6.8,8,6,599,4,"HR,Group Discussion,Coding,Aptitude",HR,328,75
Com0015,Bangalore,StartCo94,Finance,All Branches,C2,Financial Analyst,"Excel, SQL, Financial Modelling, Accounting, PowerBI, Basic Economics",10.6,13,9,599,5,"HR,Technical Interview,Coding,Group Discussion,Aptitude",Technical Interview,152,69.23
Com0016,Gurugram,Infosys,Software,"CSE,CSD,CSE AIML,IT",C3,Backend Engineer,"DSA, Java, Python, SQL, System Design",3.5,14,2,488,4,"Aptitude,Coding,Group Discussion,HR",Coding,142,14.29
Com0017,Bangalore,TechCo46,Software,"CSE,CSD,CSE AIML,IT",C1,Frontend Engineer,"JavaScript, React, Node.js, HTML/CSS, REST APIs",19,5,5,355,5,"Technical Interview,Group Discussion,Coding,Aptitude,HR",Group Discussion,83,100
Com0018,Hyderabad,TechCo40,Software,"CSE,CSD,CSE AIML,IT",C3,SDE,"DSA, Java, Python, SQL, System Design",6.3,16,11,488,4,"Group Discussion,HR,Coding,Technical Interview",HR,188,68.75
Com0019,Hyderabad,Mahindra & Mahindra,Civil,Civil,C3,Civil Engineer,"AutoCAD, Structural Analysis, STAAD Pro, Construction Management",7.9,17,12,40,2,"Coding,Technical Interview",Technical Interview,9,70.59
Com0020,Noida,CoreCo33,EE,EE,C3,Control Systems Engineer,"Power Systems, Electrical Machines, Circuit Analysis, MATLAB",7.2,12,3,56,3,"Coding,HR,Aptitude",Coding,26,25
Com0021,Chennai,StartCo9,Sales,All Branches,C2,Inside Sales Associate,"Communication, Negotiation, CRM tools, Presentation Skills, Lead Generation",5.5,9,6,599,2,"Technical Interview,HR",Technical Interview,222,66.67
Com0022,Pune,CoreCo27,EC,EC,C2,Electronics Engineer,"VLSI, Embedded C, Digital Electronics, MATLAB",5,13,5,29,2,"Group Discussion,HR",Group Discussion,6,38.46
